ProductName,Vendor,ClassType,CommonCode,BeverageType,Size,VendorNumber,ClassID,ClassTypeName,ClassTypeNo,Brand,CommonCodeName,CommonCodeNo,Listed_NonListed,PackSize,PackSizeInd,Bottles
1 BARREL RUM FROM BELIZE - IM RUM OTHER - 750 ML,H A P L.L.C.  ( 3079 ),IM RUM OTHER  ( 4220 ),1 BARREL RUM 80P  ( 1019706 ),Spirit,750 ML,3079,Rum,IM RUM OTHER,4220,1 BARREL RUM FROM BELIZE,1 BARREL RUM 80P,1019706,Non-Listed,12,Actual,1
1 BARREL RUM FROM BELIZE - IM RUM OTHER - 750 ML,H A P L.L.C.  ( 3079 ),IM RUM OTHER  ( 4220 ),1 BARREL RUM 80P  ( 1019706 ),Spirit,750 ML,3079,Rum,IM RUM OTHER,4220,1 BARREL RUM FROM BELIZE,1 BARREL RUM 80P,1019706,Non-Listed,12,Actual,3
10 CANE TRINIDAD RUM - IM RUM OTHER - 375 ML,MOET HENNESSY  ( 4885 ),IM RUM OTHER  ( 4220 ),10 CANE RUM  ( 855601 ),Spirit,375 ML,4885,Rum,IM RUM OTHER,4220,10 CANE TRINIDAD RUM,10 CANE RUM,855601,Non-Listed,12,Actual,1
10 CANE TRINIDAD RUM - IM RUM OTHER - 750 ML,MOET HENNESSY  ( 4885 ),IM RUM OTHER  ( 4220 ),10 CANE RUM  ( 855601 ),Spirit,750 ML,4885,Rum,IM RUM OTHER,4220,10 CANE TRINIDAD RUM,10 CANE RUM,855601,Non-Listed,6,Actual,135
10 CANE TRINIDAD RUM - IM RUM OTHER - 750 ML,MOET HENNESSY  ( 4885 ),IM RUM OTHER  ( 4220 ),10 CANE RUM  ( 855601 ),Spirit,750 ML,4885,Rum,IM RUM OTHER,4220,10 CANE TRINIDAD RUM,10 CANE RUM,855601,Non-Listed,6,Actual,341
100 PIPERS - SCOTCH BTL US - 1.0 LTR,HEAVEN HILL  ( 3210 ),SCOTCH BTL US  ( 1210 ),100 PIPERS 86P  ( 1151500 ),Spirit,1.0 LTR,3210,Whiskey,SCOTCH BTL US,1210,100 PIPERS,100 PIPERS 86P,1151500,Listed,12,Actual,725
100 PIPERS - SCOTCH BTL US - 1.0 LTR,HEAVEN HILL  ( 3210 ),SCOTCH BTL US  ( 1210 ),100 PIPERS 86P  ( 1151500 ),Spirit,1.0 LTR,3210,Whiskey,SCOTCH BTL US,1210,100 PIPERS,100 PIPERS 86P,1151500,Listed,12,Actual,1030
100 PIPERS - SCOTCH BTL US - 1.75 LTR,HEAVEN HILL  ( 3210 ),SCOTCH BTL US  ( 1210 ),100 PIPERS 86P  ( 1151500 ),Spirit,1.75 LTR,3210,Whiskey,SCOTCH BTL US,1210,100 PIPERS,100 PIPERS 86P,1151500,Listed,6,Actual,819
100 PIPERS - SCOTCH BTL US - 1.75 LTR,HEAVEN HILL  ( 3210 ),SCOTCH BTL US  ( 1210 ),100 PIPERS 86P  ( 1151500 ),Spirit,1.75 LTR,3210,Whiskey,SCOTCH BTL US,1210,100 PIPERS,100 PIPERS 86P,1151500,Listed,6,Actual,1004
13TH COLONY SOUTHERN LR 2010 CORN WHSKEY - YOUNG WHISKEY - 750 ML,THIRTEENTH CLNY  ( 7630 ),YOUNG WHISKEY  ( 1170 ),13TH COLONY C WH  ( 1177452 ),Spirit,750 ML,7630,Whiskey,YOUNG WHISKEY,1170,13TH COLONY SOUTHERN LR 2010 CORN WHSKEY,13TH COLONY C WH,1177452,Non-Listed,6,Actual,5
13TH COLONY SOUTHERN LR 2010 CORN WHSKEY - YOUNG WHISKEY - 750 ML,THIRTEENTH CLNY  ( 7630 ),YOUNG WHISKEY  ( 1170 ),13TH COLONY C WH  ( 1177452 ),Spirit,750 ML,7630,Whiskey,YOUNG WHISKEY,1170,13TH COLONY SOUTHERN LR 2010 CORN WHSKEY,13TH COLONY C WH,1177452,Non-Listed,6,Actual,7
13TH COLONY SOUTHERN RYE WHISKEY - STRAIGHT RYE - 750 ML,THIRTEENTH CLNY  ( 7630 ),STRAIGHT RYE  ( 1130 ),13TH COLONY RYE  ( 1180181 ),Spirit,750 ML,7630,Whiskey,STRAIGHT RYE,1130,13TH COLONY SOUTHERN RYE WHISKEY,13TH COLONY RYE,1180181,Non-Listed,6,Actual,13
13TH COLONY SOUTHERN RYE WHISKEY - STRAIGHT RYE - 750 ML,THIRTEENTH CLNY  ( 7630 ),STRAIGHT RYE  ( 1130 ),13TH COLONY RYE  ( 1180181 ),Spirit,750 ML,7630,Whiskey,STRAIGHT RYE,1130,13TH COLONY SOUTHERN RYE WHISKEY,13TH COLONY RYE,1180181,Non-Listed,6,Actual,16
1792 SMALL BATCH KENTUCKY STRAIGHT BRBN - STRT BOURBON - 1.75 LTR,SAZERAC N AMRCA  ( 6612 ),STRT BOURBON  ( 1120 ),1792 RDGMNT RSV  ( 974300 ),Spirit,1.75 LTR,6612,Whiskey,STRT BOURBON,1120,1792 SMALL BATCH KENTUCKY STRAIGHT BRBN,1792 RDGMNT RSV,974300,Non-Listed,3,Actual,2
1792 SMALL BATCH KENTUCKY STRAIGHT BRBN - STRT BOURBON - 1.75 LTR,SAZERAC N AMRCA  ( 6612 ),STRT BOURBON  ( 1120 ),1792 RDGMNT RSV  ( 974300 ),Spirit,1.75 LTR,6612,Whiskey,STRT BOURBON,1120,1792 SMALL BATCH KENTUCKY STRAIGHT BRBN,1792 RDGMNT RSV,974300,Non-Listed,3,Actual,22
1792 SMALL BATCH KENTUCKY STRAIGHT BRBN - STRT BOURBON - 750 ML,SAZERAC N AMRCA  ( 6612 ),STRT BOURBON  ( 1120 ),1792 RDGMNT RSV  ( 974300 ),Spirit,750 ML,6612,Whiskey,STRT BOURBON,1120,1792 SMALL BATCH KENTUCKY STRAIGHT BRBN,1792 RDGMNT RSV,974300,Listed,6,Actual,154
1792 SMALL BATCH KENTUCKY STRAIGHT BRBN - STRT BOURBON - 750 ML,SAZERAC N AMRCA  ( 6612 ),STRT BOURBON  ( 1120 ),1792 RDGMNT RSV  ( 974300 ),Spirit,750 ML,6612,Whiskey,STRT BOURBON,1120,1792 SMALL BATCH KENTUCKY STRAIGHT BRBN,1792 RDGMNT RSV,974300,Listed,6,Actual,254
