Year,Period,StoreLicenseeName,StoreLicenseeNo,ProductName,Bottles,CasesActual,CasesStandard,Cases9Liter,RetailDollarVol,ShelfDollarVol,FOBDollarVol
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,ABSOLUT - VODKA IMPORTD - 375 ML,1,0.04,0.04,0.04,11.49,11.49,5.68
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,ARISTOCRAT VODKA - VODKA 80 PRF - 1.0 LTR,12,1.00,1.00,1.33,95.88,95.88,43.58
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,ARISTOCRAT VODKA - VODKA 80 PRF - 1.75 LTR,12,2.00,2.00,2.33,161.88,161.88,74.48
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,ARISTOCRAT VODKA - VODKA 80 PRF - 200 ML,48,1.00,1.00,1.07,112.32,112.32,52.78
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,ARISTOCRAT VODKA - VODKA 80 PRF - 375 ML,48,2.00,2.00,2.00,172.32,172.32,80.28
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,ARISTOCRAT VODKA - VODKA 80 PRF - 750 ML,12,1.00,1.00,1.00,77.88,77.88,35.96
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,BACARDI 151 - RUM PUER RICO - 375 ML,1,0.04,0.04,0.04,13.99,13.99,6.91
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,BACARDI LIGHT-DRY RUM - RUM PUER RICO - 1.75 LTR,1,0.17,0.17,0.19,22.99,22.99,10.67
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,BACARDI LIGHT-DRY RUM - RUM PUER RICO - 375 ML,24,1.00,1.00,1.00,167.76,167.76,81.59
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,BAILEYS ORIGINAL IRISH CREAM LIQUEUR - IM CREMES - 750 ML,1,0.08,0.08,0.08,24.99,24.99,11.22
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,BARTON - GIN DOMESTIC - 375 ML,24,1.00,1.00,1.00,81.36,81.36,39.22
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,BARTON - GIN DOMESTIC - 750 ML,6,0.50,0.50,0.50,37.74,37.74,17.86
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,BEAMS 8 STAR - BLENDED WHSKY - 375 ML,4,0.17,0.17,0.17,15.96,15.96,7.19
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,BURNETT'S VODKA 80 PROOF - VODKA 80 PRF - 750 ML,1,0.08,0.08,0.08,8.99,8.99,4.21
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,CANADIAN MIST - CANDN BTL U S - 1.75 LTR,1,0.17,0.17,0.19,22.99,22.99,11.21
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,CANADIAN RICH AND RARE - CANDN BTL U S - 375 ML,4,0.17,0.17,0.17,20.76,20.76,10.65
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,CLUB 400 SPECIAL RESERVE - BLENDED WHSKY - 1.75 LTR,2,0.33,0.33,0.39,29.98,29.98,14.22
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,CLUB 400 SPECIAL RESERVE - BLENDED WHSKY - 375 ML,24,1.00,1.00,1.00,93.36,93.36,44.42
2014,11,LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL - F - 011001089536 ,DON COSSACK - VODKA 1OO PRF - 1.75 LTR,2,0.33,0.33,0.39,42.98,42.98,20.87
